Name,Area,Population,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Health expenditures,HIV/AIDS - adult prevalence rate,HIV/AIDS - people living with HIV/AIDS,HIV/AIDS - deaths,Obesity - adult prevalence rate,Children under the age of 5 years underweight,Education expenditures,"Unemployment, youth ages 15-24",Exchange Rate,Currency,GDP (purchasing power parity),GDP - real growth rate,GDP - per capita (PPP),Gross national saving,Industrial production growth rate,Labor Force,Unemployment rate,Distribution of family income,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Stock of narrow money,Stock of broad money,Stock of domestic credit,Market value of publicly traded shares,Current account balance,Exports,Exports - partners,Exports - commodities,Imports,Imports - partners,Imports - commodities,Reserves of foreign exchange and gold,External debt,Stock of direct foreign investment - at home,Stock of direct foreign investment - abroad,Military expenditures,Airports,Railways,Roadways,Waterways,Merchant marine,Electricity - production,Electricity - consumption,Electricity - exports,Electricity - imports,Electricity - installed generating capacity,Electricity - from fossil fuels,Electricity - from nuclear fuels,Electricity - from hydroelectric plants,Electricity - from other renewable sources,Crude oil - production,Crude oil - exports,Crude oil - imports,Crude oil - proved reserves,Refined petroleum products - production,Refined petroleum products - consumption,Refined petroleum products - exports,Refined petroleum products - imports,Natural gas - production,Natural gas - consumption,Natural gas - exports,Natural gas - imports,Natural gas - proved reserves,Telephones - fixed lines,Telephones - mobile cellular,Internet users
Dominica,751 sq km,"74,027",0.17%,"15 births/1,000 population","7.9 deaths/1,000 population","-5.4 migrant(s)/1,000 population",-,"10.3 deaths/1,000 live births",77.4 years,2.03 children born/woman,5.5% of GDP,-,-,-,27.90%,-,3.4% of GDP,-,2.7,East Caribbean dollars (XCD) per US dollar -,$783 million,-4.70%,"$11,000 ",10.8% of GDP,-13%,"25,000",23%,-,40.9% (of GDP),-5.9% (of GDP),82.7% of GDP,0.60%,6.50%,8.08%,$113.2 million,$113.2 million,$182.2 million,-,-$70 million,$28 million,"Saudi Arabia 42.6%, Trinidad and Tobago 9.3%, Jamaica 8.1%, St. Kitts and Nevis 7.1%, Guyana 6.7%(2017)","bananas, soap, bay oil, vegetables, grapefruit, oranges",$206.6 million,"US 61.3%, Trinidad and Tobago 9.8%(2017)","manufactured goods, machinery and equipment, food, chemicals",$212.3 million,$280.4 million,$372.7 million,"$220,000 ",-,2,-,"1,512 km",-,76,111.4 million kWh,103.6 million kWh,0 kWh,0 kWh,"27,800 kW",72% of total installed capacity,0% of total installed capacity,25% of total installed capacity,3% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"1,300 bbl/day",0 bbl/day,"1,237 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"13,328","78,444","49,439"
Jarvis Island,4.5 sq km,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominican Republic,"48,670 sq km","10,298,756",0.99%,"18.9 births/1,000 population","6.4 deaths/1,000 population","-1.9 migrant(s)/1,000 population","92 deaths/100,000 live births","22.7 deaths/1,000 live births",71.3 years,2.28 children born/woman,4.4% of GDP,0.90%,"67,000","2,600",27.60%,4%,-,13.40%,47.42,Dominican pesos (DOP) per US dollar -,$173 billion,4.60%,"$17,000 ",21.6% of GDP,3.10%,4.732 million,5.10%,47.1,14.9% (of GDP),-3% (of GDP),37.2% of GDP,3.30%,-,13.91%,$7.011 billion,$7.011 billion,$35.42 billion,-,-$165 million,$10.12 billion,"US 50.3%, Haiti 9.1%, Canada 8.2%, India 5.6%(2017)","gold, silver, cocoa, sugar, coffee, tobacco, meats, consumer goods",$17.7 billion,"US 41.4%, China 13.9%, Mexico 4.5%, Brazil 4.3%(2017)","petroleum, foodstuffs, cotton and fabrics, chemicals and pharmaceuticals",$6.873 billion,$29.16 billion,$37.15 billion,$408.6 million,0.64% of GDP,36,496 km,"19,705 km",-,23,18.03 billion kWh,15.64 billion kWh,0 kWh,0 kWh,3.839 million kW,77% of total installed capacity,0% of total installed capacity,16% of total installed capacity,7% of total installed capacity,0 bbl/day,0 bbl/day,"16,980 bbl/day",0 bbl,"16,060 bbl/day","134,000 bbl/day",0 bbl/day,"108,500 bbl/day",0 cu m,1.161 billion cu m,0 cu m,1.161 billion cu m,0 cu m,"1,329,852","8,769,127","6,504,998"
Dhekelia,130.8 sq km,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,"283,561 sq km","16,498,502",1.25%,"17.6 births/1,000 population","5.1 deaths/1,000 population","0 migrant(s)/1,000 population","64 deaths/100,000 live births","15.9 deaths/1,000 live births",77.1 years,2.15 children born/woman,9.2% of GDP,0.30%,"36,000",-,19.90%,5.10%,5% of GDP,8.40%,-,-,$193 billion,2.40%,"$11,500 ",25.9% of GDP,-0.60%,8.086 million,4.60%,45.9,32% (of GDP),-4.5% (of GDP),45.4% of GDP,0.40%,8.17%,7.92%,$9.578 billion,$9.578 billion,$39.3 billion,$6.838 billion,-$349 million,$19.62 billion,"US 31.5%, Vietnam 7.6%, Peru 6.7%, Chile 6.5%, Panama 4.9%, Russia 4.4%, China 4%(2017)","petroleum, bananas, cut flowers, shrimp, cacao, coffee, wood, fish",$19.31 billion,"US 22.8%, China 15.4%, Colombia 8.7%, Panama 6.4%, Brazil 4.4%, Peru 4.2%(2017)","industrial materials, fuels and lubricants, nondurable consumer goods",$2.395 billion,$39.29 billion,$17.25 billion,$6.33 billion,1.7% of GDP,432,965 km,"43,670 km","1,500 km",138,26.5 billion kWh,22.68 billion kWh,211 million kWh,82 million kWh,8.192 million kW,43% of total installed capacity,0% of total installed capacity,54% of total installed capacity,2% of total installed capacity,"531,300 bbl/day","383,500 bbl/day",0 bbl/day,8.273 billion bbl,"137,400 bbl/day","265,000 bbl/day","25,870 bbl/day","153,900 bbl/day",477.8 million cu m,453.1 million cu m,0 cu m,0 cu m,10.9 billion cu m,"2,415,204","13,881,562","8,693,739"
European Union,"4,479,968 sq km",-,-,-,-,-,-,"3.9 deaths/1,000 live births",80.7 years,-,-,-,-,-,-,-,-,21%,0.885,euros per US dollar -,$20.85 trillion,2.30%,"$40,900 ",22.7% of GDP,3.50%,238.9 million,8.60%,30.8,45.2% (of GDP),-3% (of GDP),86.8% of GDP,1.50%,0%,0.25%,$8.775 trillion,$8.138 trillion,$22.74 trillion,$7.185 trillion,$404.9 billion,$1.929 trillion,"United States 20.7%, China 9.6%, Switzerland 8.1%, Turkey 4.4%, Russia 4.1%(2016 est.)","machinery, motor vehicles, pharmaceuticals and other chemicals, fuels, aircraft, plastics, iron and steel, wood pulp and paper products, alcoholic beverages, furniture",$1.895 trillion,"China 20.1%, United States 14.5%, Switzerland 7.1%, Russia 6.3%(2016 est.)","fuels and crude oil, machinery, vehicles, pharmaceuticals and other chemicals, precious gemstones, textiles, aircraft, plastics, metals, ships",$740.9 billion,$29.27 trillion,$6.938 trillion,$8.411 trillion,1.52% of GDP,3,-,-,-,-,3.043 trillion kWh,2.845 trillion kWh,390 billion kWh,397 billion kWh,975 million kW,44% of total installed capacity,12% of total installed capacity,11% of total installed capacity,44% of total installed capacity,1.488 million bbl/day,-,-,5.1 billion bbl,11.66 million bbl/day,12.89 million bbl/day,2.196 million bbl/day,8.613 million bbl/day,118.2 billion cu m,428.8 billion cu m,93.75 billion cu m,420.6 billion cu m,1.3 trillion cu m,-,-,398.1 million
Egypt,"1,001,450 sq km","99,413,317",2.38%,"28.8 births/1,000 population","4.5 deaths/1,000 population","-0.5 migrant(s)/1,000 population","33 deaths/100,000 live births","18.3 deaths/1,000 live births",73.2 years,3.41 children born/woman,5.6% of GDP,-,"16,000",-,32%,7%,3.8% of GDP,30.80%,18.05,Egyptian pounds (EGP) per US dollar -,$1.204 trillion,4.20%,"$12,700 ",9% of GDP,3.50%,29.95 million,12.20%,31.8,17.9% (of GDP),-8.6% (of GDP),103% of GDP,23.50%,19.25%,18.18%,$43.4 billion,$43.4 billion,$193.4 billion,$27.35 billion,-$14.92 billion,$23.3 billion,"UAE 10.9%, Italy 10%, US 7.4%, UK 5.7%, Turkey 4.4%, Germany 4.3%, India 4.3%(2017)","crude oil and petroleum products, fruits and vegetables, cotton, textiles, metal products, chemicals, processed food",$59.78 billion,"China 7.9%, UAE 5.2%, Germany 4.8%, Saudi Arabia 4.6%, US 4.4%, Russia 4.3%(2017)","machinery and equipment, foodstuffs, chemicals, wood products, fuels",$35.89 billion,$77.47 billion,$106.6 billion,$7.426 billion,1.67% of GDP,83,"5,085 km","137,430 km","3,500 km",399,183.5 billion kWh,159.7 billion kWh,1.158 billion kWh,54 million kWh,45.12 million kW,91% of total installed capacity,0% of total installed capacity,6% of total installed capacity,2% of total installed capacity,"589,400 bbl/day","246,500 bbl/day","64,760 bbl/day",4.4 billion bbl,"547,500 bbl/day","878,000 bbl/day","47,360 bbl/day","280,200 bbl/day",50.86 billion cu m,57.71 billion cu m,212.4 million cu m,7.079 billion cu m,2.186 trillion cu m,"6,604,849","102,958,194","37,122,537"
Ireland,"70,273 sq km","5,068,050",1.11%,"13.8 births/1,000 population","6.6 deaths/1,000 population","4 migrant(s)/1,000 population","8 deaths/100,000 live births","3.6 deaths/1,000 live births",81 years,1.96 children born/woman,7.8% of GDP,0.20%,"7,200",-,25.30%,-,4.9% of GDP,17.20%,0.885,euros (EUR) per US dollar -,$353.3 billion,7.20%,"$73,200 ",33.1% of GDP,7.80%,2.226 million,6.70%,31.3,26% (of GDP),-0.3% (of GDP),68.6% of GDP,0.30%,0.05%,4.08%,$191.9 billion,$191.9 billion,$299.1 billion,$128 billion,$28.14 billion,$219.7 billion,"US 27.1%, UK 13.4%, Belgium 11%, Germany 8.1%, Switzerland 5.1%, Netherlands 4.9%, France 4.3%(2017)","machinery and equipment, computers, chemicals, medical devices, pharmaceuticals; foodstuffs, animal products",$98.13 billion,"UK 29%, US 18.9%, France 12.1%, Germany 9.6%, Netherlands 4.1%(2017)","data processing equipment, other machinery and equipment, chemicals, petroleum and petroleum products, textiles, clothing",$4.412 billion,$2.47 trillion,$1.54 trillion,$1.56 trillion,0.34% of GDP,40,"3,237 km","96,036 km",956 km,83,28.53 billion kWh,25.68 billion kWh,1.583 billion kWh,871 million kWh,9.945 million kW,65% of total installed capacity,0% of total installed capacity,2% of total installed capacity,33% of total installed capacity,0 bbl/day,"5,900 bbl/day","66,210 bbl/day",0 bbl,"64,970 bbl/day","153,700 bbl/day","37,040 bbl/day","126,600 bbl/day",3.511 billion cu m,5.238 billion cu m,0 cu m,1.642 billion cu m,9.911 billion cu m,"1,842,026","4,898,872","4,069,432"
Equatorial Guinea,"28,051 sq km","797,457",2.41%,"31.7 births/1,000 population","7.6 deaths/1,000 population","0 migrant(s)/1,000 population","342 deaths/100,000 live births","63.3 deaths/1,000 live births",65 years,4.29 children born/woman,3.8% of GDP,6.50%,"53,000","1,900",8%,5.60%,-,-,605.3,Cooperation Financiere en Afrique Centrale francs (XAF) per US dollar -,$31.52 billion,-3.20%,"$37,400 ",6.1% of GDP,-6.90%,"195,200",8.60%,-,16.9% (of GDP),-3.3% (of GDP),37.4% of GDP,0.70%,8.50%,15%,$1.51 billion,$1.51 billion,$2.806 billion,-,-$738 million,$6.118 billion,"China 28%, India 11.8%, South Korea 10.3%, Portugal 8.7%, US 6.9%, Spain 4.9%(2017)","petroleum products, timber",$2.577 billion,"Spain 20.5%, China 19.4%, US 13%, Cote dIvoire 6.2%, Netherlands 4.7%(2017)","petroleum sector equipment, other equipment, construction materials, vehicles",$45.5 million,$1.211 billion,-,-,0.18% of GDP,7,-,"2,880 km",-,40,500 million kWh,465 million kWh,0 kWh,0 kWh,"331,000 kW",61% of total installed capacity,0% of total installed capacity,38% of total installed capacity,2% of total installed capacity,"188,300 bbl/day","308,700 bbl/day",0 bbl/day,1.1 billion bbl,0 bbl/day,"5,200 bbl/day",0 bbl/day,"5,094 bbl/day",6.069 billion cu m,1.189 billion cu m,4.878 billion cu m,0 cu m,36.81 billion cu m,"10,989","575,650","180,597"
Estonia,"45,228 sq km","1,244,288",-0.60%,"9.9 births/1,000 population","12.7 deaths/1,000 population","-3.2 migrant(s)/1,000 population","9 deaths/100,000 live births","3.8 deaths/1,000 live births",77 years,1.6 children born/woman,6.4% of GDP,0.70%,"5,700",-,21.20%,-,5.5% of GDP,13.40%,0.92,euros (EUR) per US dollar -,$41.65 billion,4.90%,"$31,700 ",27% of GDP,9.50%,"670,200",5.80%,34.8,39.9% (of GDP),-0.3% (of GDP),9% of GDP,3.70%,0%,4.20%,$14.78 billion,$14.78 billion,$24.25 billion,$3.102 billion,$809 million,$13.44 billion,"Finland 16.2%, Sweden 13.5%, Latvia 9.2%, Russia 7.3%, Germany 6.9%, Lithuania 5.9%(2017)","machinery and electrical equipment 30%, food products and beverages 9%, mineral fuels 6%, wood and wood products 14%, articles of base metals 7%, furniture and bedding 11%, vehicles and parts 3%, chemicals 4%(2016 est.)",$14.42 billion,"Finland 14%, Germany 10.7%, Lithuania 8.9%, Sweden 8.5%, Latvia 8.2%, Poland 7.2%, Russia 6.7%, Netherlands 5.9%, China 4.7%(2017)","machinery and electrical equipment 28%, mineral fuels 11%, food and food products 10%, vehicles 9%, chemical products 8%, metals 8%(2015 est.)",$345 million,$19.05 billion,$27.05 billion,$10.96 billion,2.17% of GDP,18,"2,146 km","58,412 km",335 km,78,11.55 billion kWh,8.795 billion kWh,5.613 billion kWh,3.577 billion kWh,2.578 million kW,72% of total installed capacity,0% of total installed capacity,0% of total installed capacity,28% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"28,300 bbl/day","27,150 bbl/day","35,520 bbl/day",0 cu m,481.4 million cu m,0 cu m,481.4 million cu m,0 cu m,"362,117","1,904,425","1,097,921"
Eritrea,"117,600 sq km","5,970,646",0.89%,"29.1 births/1,000 population","7.1 deaths/1,000 population","-13.9 migrant(s)/1,000 population","501 deaths/100,000 live births","44.4 deaths/1,000 live births",65.6 years,3.9 children born/woman,3.3% of GDP,0.60%,"14,000",-,5%,38.80%,-,-,15.38,nakfa (ERN) per US dollar -,$9.402 billion,5%,"$1,600 ",5.5% of GDP,5.40%,2.71 million,5.80%,-,34.9% (of GDP),-9.8% (of GDP),131.2% of GDP,9%,-,-,$3.084 billion,$3.084 billion,$5.787 billion,-,-$137 million,$624.3 million,"China 62%, South Korea 28.3%(2017)","gold and other minerals, livestock, sorghum, textiles, food, small industry manufactures",$1.127 billion,"UAE 14.5%, China 13.2%, Saudi Arabia 13.2%, Italy 12.9%, Turkey 5.6%, South Africa 4.6%(2017)","machinery, petroleum products, food, manufactured goods",$236.7 million,$792.7 million,-,-,-,13,306 km,"4,010 km",-,9,415.9 million kWh,353.9 million kWh,0 kWh,0 kWh,"160,700 kW",99% of total installed capacity,0% of total installed capacity,0% of total installed capacity,1% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"4,000 bbl/day",0 bbl/day,"3,897 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"66,086","506,000","69,095"
El Salvador,"21,041 sq km","6,187,271",0.25%,"16.1 births/1,000 population","5.8 deaths/1,000 population","-8 migrant(s)/1,000 population","54 deaths/100,000 live births","16.3 deaths/1,000 live births",75.1 years,1.84 children born/woman,6.8% of GDP,0.60%,"25,000",-,24.60%,5%,3.5% of GDP,9.80%,1,note: the US dollar is used as a medium of exchange and circulates freely in the economy,$51.17 billion,2.30%,"$8,000 ",14.9% of GDP,3.60%,2.774 million,7%,36,23.7% (of GDP),-2.5% (of GDP),67.9% of GDP,1%,-,6.47%,$3.653 billion,$3.653 billion,$14.22 billion,$2.64 billion,-$501 million,$4.662 billion,"US 45.7%, Honduras 13.9%, Guatemala 13.5%, Nicaragua 6.7%, Costa Rica 4.6%(2017)","offshore assembly exports, coffee, sugar, textiles and apparel, ethanol, chemicals, electricity, iron and steel manufactures",$9.499 billion,"US 36.7%, Guatemala 10.5%, China 8.7%, Mexico 7.4%, Honduras 6.7%(2017)","raw materials, consumer goods, capital goods, fuels, foodstuffs, petroleum, electricity",$3.567 billion,$15.51 billion,$10.28 billion,$678.7 million,0.87% of GDP,68,13 km,"6,979 km",-,2,5.83 billion kWh,5.928 billion kWh,89.6 million kWh,1.066 billion kWh,1.983 million kW,49% of total installed capacity,0% of total installed capacity,23% of total installed capacity,29% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"52,000 bbl/day",347 bbl/day,"49,280 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"677,599","9,982,186","1,785,254"
Ethiopia,"1,104,300 sq km","108,386,391",2.83%,"36 births/1,000 population","7.5 deaths/1,000 population","-0.2 migrant(s)/1,000 population","353 deaths/100,000 live births","48.3 deaths/1,000 live births",63 years,4.91 children born/woman,4.9% of GDP,0.90%,"610,000","15,000",4.50%,23.60%,4.5% of GDP,25.20%,25,birr (ETB) per US dollar -,$200.6 billion,10.90%,"$2,200 ",32.1% of GDP,10.50%,52.82 million,17.50%,33,13.9% (of GDP),-3.2% (of GDP),54.2% of GDP,9.90%,-,13.50%,$9.042 billion,$9.042 billion,$27.66 billion,-,-$6.551 billion,$3.23 billion,"Sudan 23.3%, Switzerland 10.2%, China 8.1%, Somalia 6.6%, Netherlands 6.2%, US 4.7%, Germany 4.7%, Saudi Arabia 4.6%, UK 4.6%(2017)","coffee (27%, by value), oilseeds (17%), edible vegetables including khat (17%), gold (13%), flowers (7%), live animals (7%), raw leather products (3%), meat products (3%)",$15.59 billion,"China 24.1%, Saudi Arabia 10.1%, India 6.4%, Kuwait 5.3%, France 5.2%(2017)","machinery and aircraft (14%, by value), metal and metal products, (14%), electrical materials, (13%), petroleum products (12%), motor vehicles, (10%), chemicals and fertilizers (4%)",$3.013 billion,$26.05 billion,-,-,0.67% of GDP,57,659 km,"110,414 km",-,11,11.15 billion kWh,9.062 billion kWh,166 million kWh,0 kWh,2.784 million kW,3% of total installed capacity,0% of total installed capacity,86% of total installed capacity,11% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,"428,000 bbl",0 bbl/day,"74,000 bbl/day",0 bbl/day,"69,970 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,24.92 billion cu m,1.181 million,62.617 million,"15,731,741"
Czechia,"78,867 sq km","10,686,269",0.10%,"9.2 births/1,000 population","10.5 deaths/1,000 population","2.3 migrant(s)/1,000 population","4 deaths/100,000 live births","2.6 deaths/1,000 live births",78.9 years,1.46 children born/woman,7.4% of GDP,-,"2,900",-,26%,-,4% of GDP,10.50%,23.34,koruny (CZK) per US dollar -,$375.9 billion,4.30%,"$35,500 ",26.9% of GDP,7.50%,5.427 million,2.90%,25,40.5% (of GDP),1.6% (of GDP),34.7% of GDP,2.40%,0.05%,3.59%,$177.2 billion,$177.2 billion,$147.1 billion,$58.83 billion,$2.317 billion,$144.8 billion,"Germany 32.8%, Slovakia 7.8%, Poland 6.1%, France 5.1%, UK 4.9%, Austria 4.4%, Italy 4.1%(2017)","machinery and transport equipment, raw materials, fuel, chemicals",$134.7 billion,"Germany 29.8%, Poland 9.1%, China 7.4%, Slovakia 5.8%, Netherlands 5.3%, Italy 4%(2017)","machinery and transport equipment, raw materials and fuels, chemicals",$148 billion,$205.2 billion,$185.6 billion,$54.39 billion,0.98% of GDP,128,"9,622 km","130,661 km",664 km,-,77.39 billion kWh,62.34 billion kWh,24.79 billion kWh,13.82 billion kWh,21.63 million kW,60% of total installed capacity,19% of total installed capacity,5% of total installed capacity,16% of total installed capacity,"2,000 bbl/day",446 bbl/day,"155,900 bbl/day",15 million bbl,"177,500 bbl/day","213,700 bbl/day","52,200 bbl/day","83,860 bbl/day",229.4 million cu m,8.721 billion cu m,0 cu m,8.891 billion cu m,3.964 billion cu m,"1,616,631","12,634,937","8,141,303"
Finland,"338,145 sq km","5,537,364",0.33%,"10.7 births/1,000 population","10.1 deaths/1,000 population","2.9 migrant(s)/1,000 population","3 deaths/100,000 live births","2.5 deaths/1,000 live births",81.1 years,1.75 children born/woman,9.7% of GDP,-,-,-,22.20%,-,7.2% of GDP,20.10%,0.885,euros (EUR) per US dollar -,$244.9 billion,2.80%,"$44,500 ",23.3% of GDP,6.20%,2.473 million,8.50%,27.2,53.1% (of GDP),-0.6% (of GDP),61.3% of GDP,0.80%,1.25%,1.61%,$152.6 billion,$152.6 billion,$323.9 billion,$231 billion,$1.806 billion,$67.73 billion,"Germany 14.2%, Sweden 10.1%, US 7%, Netherlands 6.8%, China 5.7%, Russia 5.7%, UK 4.5%(2017)","electrical and optical equipment, machinery, transport equipment, paper and pulp, chemicals, basic metals; timber",$65.26 billion,"Germany 17.7%, Sweden 15.8%, Russia 13.1%, Netherlands 8.7%(2017)","foodstuffs, petroleum and petroleum products, chemicals, transport equipment, iron and steel, machinery, computers, electronic industry products, textile yarn and fabrics, grains",$10.51 billion,$150.6 billion,$135.2 billion,$185.6 billion,1.23% of GDP,148,"5,926 km","454,000 km","8,000 km",267,66.54 billion kWh,82.79 billion kWh,3.159 billion kWh,22.11 billion kWh,16.27 million kW,41% of total installed capacity,17% of total installed capacity,20% of total installed capacity,23% of total installed capacity,0 bbl/day,0 bbl/day,"236,700 bbl/day",0 bbl,"310,600 bbl/day","217,100 bbl/day","166,200 bbl/day","122,200 bbl/day",0 cu m,2.35 billion cu m,4 million cu m,2.322 billion cu m,-,"378,200","7,307,800","4,822,132"
Fiji,"18,274 sq km","926,276",0.56%,"18.2 births/1,000 population","6.2 deaths/1,000 population","-6.5 migrant(s)/1,000 population","30 deaths/100,000 live births","9.3 deaths/1,000 live births",73.2 years,2.37 children born/woman,4.5% of GDP,0.10%,-,-,30.20%,-,3.9% of GDP,15.40%,2.075,Fijian dollars (FJD) per US dollar -,$8.629 billion,3%,"$9,800 ",12.7% of GDP,2.80%,"353,100",4.50%,-,29.7% (of GDP),-4% (of GDP),48.9% of GDP,3.40%,1.75%,5.74%,$2.272 billion,$2.272 billion,$3.607 billion,$452.5 million,-$277 million,$908.2 million,"US 20.8%, Australia 14.9%, NZ 7.7%, Tonga 5%, Vanuatu 4.6%, China 4.5%, Spain 4.3%, UK 4.3%, Kiribati 4.1%(2017)","fuel, including oil, fish, beverages, gems, sugar, garments, gold, timber, fish, molasses, coconut oil, mineral water",$1.911 billion,"Australia 19.2%, NZ 17.2%, Singapore 17%, China 13.8%(2017)","manufactured goods, machinery and transport equipment, petroleum products, food and beverages, chemicals, tobacco",$1.116 billion,$1.022 billion,$4.342 billion,$117.1 million,0.98% of GDP,28,597 km,"3,440 km",203 km,68,914 million kWh,850 million kWh,0 kWh,0 kWh,"338,000 kW",34% of total installed capacity,0% of total installed capacity,38% of total installed capacity,27% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"16,000 bbl/day",0 bbl/day,"17,460 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"75,952","1,033,915","425,680"
Falkland Islands (Islas Malvinas),"12,173 sq km","3,198",0.01%,"10.9 births/1,000 population","4.9 deaths/1,000 population",-,-,-,-,-,-,-,-,-,-,-,-,-,0.7836,Falkland pounds (FKP) per US dollar -,$206.4 million,25.50%,"$70,800 ",-,-,"1,850",1%,36,32.5% (of GDP),-4% (of GDP),0% of GDP,1.40%,-,-,-,-,-,-,-,$257.3 million,"Spain 74.4%, Namibia 10.4%, US 5%(2017)","wool, hides, meat, venison, fish, squid",$90 million,"UK 47.8%, Spain 28.4%, Greece 10.2%, Netherlands 5.7%, Cote dIvoire 4.3%(2017)","fuel, food and drink, building materials, clothing",-,$0 ,-,-,-,7,-,440 km,-,3,19 million kWh,17.67 million kWh,0 kWh,0 kWh,"12,100 kW",74% of total installed capacity,0% of total installed capacity,0% of total installed capacity,26% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,290 bbl/day,0 bbl/day,286 bbl/day,0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"2,255","4,674","3,000"
"Micronesia, Federated States of",702 sq km,"103,643",-0.55%,"19.6 births/1,000 population","4.2 deaths/1,000 population","-20.9 migrant(s)/1,000 population","100 deaths/100,000 live births","19.1 deaths/1,000 live births",73.4 years,2.37 children born/woman,13.7% of GDP,-,-,-,45.80%,-,12.5% of GDP,-,-,-,$348 million,2%,"$3,400 ",-,-,"37,920",16.20%,61.1,65.2% (of GDP),6.6% (of GDP),24.5% of GDP,0.50%,-,15.73%,$44.07 million,$178.3 million,$56.98 million,-,$12 million,$88.3 million,-,"fish, sakau (kava), betel nuts, black pepper",$167.8 million,-,"food, beverages, clothing, computers, household electronics, appliances, manufactured goods, automobiles, machinery and equipment, furniture, tools",$203.7 million,$93.6 million,$15.8 million,-,-,6,-,388 km,-,88,192 million kWh,178.6 million kWh,0 kWh,0 kWh,"18,000 kW",96% of total installed capacity,0% of total installed capacity,1% of total installed capacity,3% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,-,0 bbl/day,-,0 cu m,-,-,-,0 cu m,"6,947","23,114","33,000"
Faroe Islands,"1,393 sq km","51,018",0.58%,"14.5 births/1,000 population","8.8 deaths/1,000 population","0 migrant(s)/1,000 population",-,"5.3 deaths/1,000 live births",80.6 years,2.34 children born/woman,-,-,-,-,-,-,-,-,6.586,Danish kroner (DKK) per US dollar -,$2.001 billion,5.90%,"$40,000 ",25.7% of GDP,3.40%,"27,540",2.20%,22.7,30.2% (of GDP),-1.7% (of GDP),35% of GDP,-0.30%,-,-,-,-,-,-,-,$1.184 billion,"Russia 26.4%, UK 14.1%, Germany 8.4%, China 7.9%, Spain 6.8%, Denmark 6.2%, US 4.7%, Poland 4.4%, Norway 4.1%(2017)",fish and fish products (97%)(2017 est.),$978.4 million,"Denmark 33%, China 10.7%, Germany 7.6%, Poland 6.8%, Norway 6.7%, Ireland 5%, Chile 4.3%(2017)","goods for household consumption, machinery and transport equipment, fuels, raw materials and semi-manufactures, cars",-,$387.6 million,-,-,-,1,-,960 km,-,96,307 million kWh,285.5 million kWh,0 kWh,0 kWh,"128,300 kW",54% of total installed capacity,0% of total installed capacity,31% of total installed capacity,16% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"4,600 bbl/day",0 bbl/day,"4,555 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"20,193","54,487","47,988"
